Date,Supply,Spread,
10/1/99,106.5196733,0.13,
10/8/99,99.96219825,0.125,
10/15/99,91.66484751,0.1576,
10/22/99,64.92670884,0.1746,
10/29/99,45.72686229,0.1696,
11/5/99,46.21842921,0.1172,
11/12/99,76.17822229,0.0888,
11/19/99,86.42209197,0.0592,
11/26/99,136.5836688,0.015333333,
12/3/99,141.3152713,0.0258,
12/10/99,169.9375565,0.0122,
12/17/99,154.6688481,0.0454,
12/24/99,70.88857348,0.03025,
12/31/99,29.28395295,0.00725,
1/7/00,70.04600849,-0.02325,
1/14/00,-38.58375514,-0.0192,
1/21/00,-89.58796223,-0.00825,
1/28/00,-195.8728912,0.0304,
2/4/00,-266.1731772,0.094,
2/11/00,-282.6807958,0.0248,
2/18/00,-291.7337706,-0.0162,
2/25/00,-241.3046958,-0.01525,
3/3/00,-180.6322025,0.122,
3/10/00,-134.2626657,0.1272,
3/17/00,-163.984496,0.1256,
3/24/00,-176.3623634,0.1262,
3/31/00,-166.8637528,0.1316,
4/7/00,-148.9960319,0.1308,
4/14/00,-209.9999947,0.145,
4/21/00,-229.5958791,0.15225,
4/28/00,-248.7005302,0.1538,
5/5/00,-252.8265216,0.165,-0.1956
5/12/00,-286.5296951,0.178,3.248
5/19/00,-311.774725,0.2112,
5/26/00,-342.4729521,0.228,
6/2/00,-356.1760809,0.22625,
6/9/00,-357.9196662,0.2156,
6/16/00,-371.9236555,0.227,
6/23/00,-379.1099718,0.2434,
6/30/00,-383.0655845,0.2874,
7/7/00,-355.0018715,0.266333333,
7/14/00,-350.3461954,0.215,
7/21/00,-345.5699134,0.1612,
7/28/00,-330.1029955,0.143,
8/4/00,-310.6718648,0.169,
8/11/00,-309.2193336,0.2422,
8/18/00,-309.2524912,0.2428,
8/25/00,-313.7145065,0.262,
9/1/00,-330.8669957,0.264,
9/8/00,-325.042238,0.2925,
9/15/00,-331.1330629,0.2958,
9/22/00,-325.2063149,0.2936,
9/29/00,-308.3380901,0.2578,
10/6/00,-319.8117639,0.2476,
10/13/00,-356.2507845,0.2528,
10/20/00,-344.3541893,0.242,
10/27/00,-322.7473991,0.229,
11/3/00,-317.3519773,0.1976,
11/10/00,-341.1268222,0.2466,
11/17/00,-417.9707513,0.4398,
11/24/00,-540.3557558,0.643333333,
12/1/00,-574.6535626,0.6612,
12/8/00,-647.8753075,1.261,
12/15/00,-691.7957935,1.9838,
12/22/00,-753.5780507,2.0686,
12/29/00,-863.9795102,2.20975,
1/5/01,-918.175119,2.09975,
1/12/01,-856.331464,2.0148,
1/19/01,-777.2359718,1.11525,
1/26/01,-747.4680475,0.889,
2/2/01,-701.8282534,0.5926,
2/9/01,-660.566863,0.2824,
2/16/01,-616.9707697,0.0682,
2/23/01,-615.0120899,-0.013,
3/2/01,-595.0718545,0.2862,
